id,tokenId,value,operator,from,to,claimIds,transactionHash
81,84,15000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"185,186",0x10393c4515a429113b1b6ecd56266a30b8c0a6d96c6b657d5c98fde20919cc99
82,85,15000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,187,0x10393c4515a429113b1b6ecd56266a30b8c0a6d96c6b657d5c98fde20919cc99
83,86,25000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"188,189",0x335a2b16b09ac2640b8ca210f84bdc081630b3e7399ef5b4675ced42b890fb92
84,87,162000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"190,191,192,193,194,195",0x335a2b16b09ac2640b8ca210f84bdc081630b3e7399ef5b4675ced42b890fb92
85,88,11000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,196,0x335a2b16b09ac2640b8ca210f84bdc081630b3e7399ef5b4675ced42b890fb92
86,89,22000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,197,0x335a2b16b09ac2640b8ca210f84bdc081630b3e7399ef5b4675ced42b890fb92
87,90,20000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,198,0x335a2b16b09ac2640b8ca210f84bdc081630b3e7399ef5b4675ced42b890fb92
88,91,23000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,199,0xa0908b399a010e608ac16fb1ec411877dcdc50d9a096f63fb87e588479300e20
89,92,1000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,200,0xa0908b399a010e608ac16fb1ec411877dcdc50d9a096f63fb87e588479300e20
90,93,23000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,201,0xa0908b399a010e608ac16fb1ec411877dcdc50d9a096f63fb87e588479300e20
91,94,9000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,202,0xa0908b399a010e608ac16fb1ec411877dcdc50d9a096f63fb87e588479300e20
92,95,16000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,203,0xe9d8f0c58c4d3b6d64525e4f25d1ff930ff9fbf7ee3f6b45eea623ae4ce16696
