batchId,storagePointer,certificateIds,redemptionStatement,transactionHash
0x0000000000000000000000000000000000000000000000000000000000000296,https://bafybeia7sbaorpure4ztijjlpkmkl3u6xvtpjuz6x75d3wq73xyeikfnx4.ipfs.dweb.link,717,bafybeia7sbaorpure4ztijjlpkmkl3u6xvtpjuz6x75d3wq73xyeikfnx4,0xef9d4309f205d676811c945bad20e167d42f4723ed5a53ee2705de4061437c7d
0x0000000000000000000000000000000000000000000000000000000000000297,https://bafybeidosc3brzu5iojmafkbnhouvemymy6gbfsezk3ulery5qp7zbxq3u.ipfs.dweb.link,718,bafybeidosc3brzu5iojmafkbnhouvemymy6gbfsezk3ulery5qp7zbxq3u,0xf3e4226ebd28327796ed2225c45dd4943c916ea8e64c69f4e571e8782559f04a
0x0000000000000000000000000000000000000000000000000000000000000298,https://bafybeifi7ctsownehabykjbdu6w5dag7bem7l5szbty3a3himp64yc2od4.ipfs.dweb.link,719,bafybeifi7ctsownehabykjbdu6w5dag7bem7l5szbty3a3himp64yc2od4,0xcae457805dbda13ed76a1970f6912fc8d53208c9ea53deb252bda6be5d5eb054
0x0000000000000000000000000000000000000000000000000000000000000299,https://bafybeifhwxun4vjkknilfmmrje2uim6xig4aunkzduu4yfmdetvmuynvna.ipfs.dweb.link,720,bafybeifhwxun4vjkknilfmmrje2uim6xig4aunkzduu4yfmdetvmuynvna,0x72caea8b2a83831c1e8e25ed8e8b00daf08e8a7da7ce93bc2d848ad58d7772a6
0x000000000000000000000000000000000000000000000000000000000000029a,https://bafybeibgze2vc6jjvpenzbfktod3246skcjghvyzys7i7rljxetlmqkc4m.ipfs.dweb.link,721,bafybeibgze2vc6jjvpenzbfktod3246skcjghvyzys7i7rljxetlmqkc4m,0x698362a8772fd1727d8fc4b097c6f243b8f45f8d77d777c76256dd51d06be273
0x000000000000000000000000000000000000000000000000000000000000029b,https://bafkreiefqcewpxlos7bjmskw3ojvov3qn4fr6s6hzynx75bjmceupuqb4q.ipfs.dweb.link,722,bafkreiefqcewpxlos7bjmskw3ojvov3qn4fr6s6hzynx75bjmceupuqb4q,0xba48fa629370d45e3b9a9c291180d2e2043b176587caa7161aefc610220323a2
0x000000000000000000000000000000000000000000000000000000000000029c,https://bafkreia473zzremtcd3xr5oy6d56tzffbdho2ztdwmnjlpzlruoeyodk7e.ipfs.dweb.link,723,bafkreia473zzremtcd3xr5oy6d56tzffbdho2ztdwmnjlpzlruoeyodk7e,0xe458a744bb87341bc0f28f95b66e19e2d81901e971094123a3e713ba1b45916e
0x000000000000000000000000000000000000000000000000000000000000029d,https://bafkreibtmatcitvxhz2rqgb6dfnk7yixlahrplewspvuusq3prmzhqy4rq.ipfs.dweb.link,724,bafkreibtmatcitvxhz2rqgb6dfnk7yixlahrplewspvuusq3prmzhqy4rq,0x557ab71ee5431c9f3c277369b5884d2eca6154ed0e6a3f36d5653dc3bced9156
0x0000000000000000000000000000000000000000000000000000000000000043,https://bafkreieutpgvseg55xmjqfhckp32idkym4hq3dfvngz4enj746ouy3arfm.ipfs.dweb.link,725,bafkreieutpgvseg55xmjqfhckp32idkym4hq3dfvngz4enj746ouy3arfm,0xd763286132198509e20f9500d1d2692b6a61e42ff218556c1d93440245be9c42
0x000000000000000000000000000000000000000000000000000000000000029e,https://bafkreibol63aigst7acerqq2nywdqbjepjpr3srwc5cayoo7yvla43gg7a.ipfs.dweb.link,726,bafkreibol63aigst7acerqq2nywdqbjepjpr3srwc5cayoo7yvla43gg7a,0x183dac8f4c48089172fafc59536cf6e0c8859dff069c2db7aa2f5f5efd291472
0x000000000000000000000000000000000000000000000000000000000000029f,https://bafkreidedsrupyktrx4molzmmblzgiqpzdz427fdvjcwtvo5hf4hylzl6i.ipfs.dweb.link,727,bafkreidedsrupyktrx4molzmmblzgiqpzdz427fdvjcwtvo5hf4hylzl6i,0x0fff6639c5dc46608ed1edfefee54bf353953d7f2bad9b5798c11447a822d3a9
0x00000000000000000000000000000000000000000000000000000000000002a0,https://bafkreie7t2x2rjd452lkwinsrbkvlusgcohnaen7i64mgqn6gjubpun2hm.ipfs.dweb.link,728,bafkreie7t2x2rjd452lkwinsrbkvlusgcohnaen7i64mgqn6gjubpun2hm,0x1aea075f89fa91bd7117b6bc9fff0e42c1ffd73f88ca326dab70b29103f48490
0x00000000000000000000000000000000000000000000000000000000000002a1,https://bafkreiehzb43by55xcwcxfh5of3ium3eo2ubv7cnminig6oaxagvfdfebm.ipfs.dweb.link,729,bafkreiehzb43by55xcwcxfh5of3ium3eo2ubv7cnminig6oaxagvfdfebm,0x0b941d1263eb2be65cf59addc8fd83d9f76870b78c9dabe6853d96f10f515e15
